,strategy
MXIM,0.0
CSOD,2.0
VEEV,1.0
FORM,2.0
BRKS,2.0
WB,0.0
ASX,2.0
EVH,2.0
UIS,2.0
LITE,0.0
GWRE,0.0
ANET,0.0
CSIQ,0.0
CARB,2.0
SAP,0.0
CREE,2.0
COHR,2.0
AYI,0.0
IMMR,0.0
NTES,0.0
LTRPA,1.0
PTC,2.0
CDW,0.0
EGOV,0.0
RESN,2.0
DDD,2.0
TRMB,2.0
TDOC,2.0
SFUN,2.0
SNE,0.0
SYNA,0.0
MTCH,2.0
XNET,2.0
TIVO,2.0
MSI,2.0
LPSN,2.0
ADTN,2.0
WHR,2.0
COMM,1.0
SHOP,0.0
PANW,0.0
CHKP,2.0
FFIV,2.0
CRUS,0.0
WSO,1.0
RCM,0.0
WUBA,0.0
TSEM,2.0
ASML,2.0
ENS,2.0
RP,2.0
FLIR,2.0
JCOM,0.0
TTMI,2.0
IAC,2.0
UCTT,2.0
ANGI,0.0
BCOR,2.0
MOBL,2.0
APH,2.0
USAT,0.0
SWIR,2.0
HUBS,0.0
VRNS,2.0
ANY,2.0
SINA,0.0
SQNS,0.0
FTNT,2.0
XPER,2.0
RPD,2.0
AMBA,1.0
AMKR,2.0
MITK,0.0
BHE,2.0
INFN,0.0
SREV,2.0
CMCM,2.0
UPLD,2.0
GLUU,2.0
SEDG,0.0
LLNW,2.0
CSGS,0.0
DPW,2.0
WAT,0.0
MKSI,2.0
CDK,0.0
MXL,0.0
WIX,2.0
AAOI,0.0
AZPN,2.0
IRBT,2.0
SOHU,1.0
IPHI,0.0
BLKB,0.0
ENPH,2.0
HLIT,2.0
ST,2.0
CRTO,2.0
ROG,2.0
UMC,2.0
KEYS,2.0
AXTI,2.0
EPAM,0.0
FIVN,0.0
EPAY,0.0
AVT,2.0
RMBS,2.0
OTEX,2.0
SANM,2.0
KOPN,2.0
SATS,2.0
RNWK,2.0
DMRC,0.0
SAIC,2.0
DIOD,2.0
INOV,2.0
BNFT,0.0
SMTC,2.0
EVTC,2.0
SMCI,2.0
BITA,2.0
MSTR,1.0
COHU,2.0
GRMN,2.0
CSLT,2.0
TWOU,0.0
MLNX,2.0
AVID,2.0
GNRC,2.0
SPWR,0.0
RNG,0.0
PEGA,0.0
NOVT,2.0
PXLW,2.0
AEIS,0.0
ENR,2.0
VRTU,2.0
MEET,0.0
ALRM,2.0
AME,2.0
QNST,2.0
SIMO,0.0
VNET,0.0
KEM,2.0
SCSC,2.0
QADA,2.0
LUNA,2.0
CLS,2.0
HUBB,2.0
MRCY,0.0
STMP,0.0
FN,0.0
VSAT,2.0
WK,0.0
CACI,2.0
AEMD,2.0
VUZI,0.0
JKS,0.0
SNCR,2.0
EIGI,2.0
LOGI,0.0
EBIX,0.0
ANSS,1.0
ITRI,2.0
SSYS,2.0
PINC,2.0
SSTK,2.0
INST,0.0
TLRA,2.0
PRGS,2.0
SPSC,0.0
RUBI,2.0
EGAN,2.0
ARW,2.0
ACLS,2.0
DSGX,0.0
JASO,0.0
MODN,2.0
PCTY,0.0
ASUR,2.0
AEHR,2.0
BMI,2.0
APPS,2.0
SNPS,2.0
MIME,2.0
NATI,2.0
PLXS,2.0
MANT,2.0
DSPG,2.0
SIGM,2.0
BCOV,2.0
SYNC,2.0
CCIH,2.0
KODK,2.0
NEWR,2.0
VCRA,0.0
QLYS,2.0
WIFI,2.0
FNJN,2.0
PLT,2.0
OMCL,2.0
XSPA,2.0
NICE,0.0
CAMP,2.0
ZIXI,0.0
AOSL,2.0
SILC,2.0
QTWO,0.0
CALX,2.0
PLAB,0.0
AGYS,2.0
SYKE,0.0
FENG,2.0
INTT,2.0
NSIT,2.0
SEAC,2.0
RVLT,2.0
INAP,2.0
LFUS,1.0
CYBR,0.0
MPWR,0.0
ITRN,2.0
DQ,2.0
TYL,0.0
SLP,0.0
DAKT,2.0
ARC,2.0
GIB,2.0
FLDM,2.0
TECD,2.0
CYOU,2.0
IPGP,0.0
NTGR,0.0
RDWR,2.0
OSIS,0.0
TDY,2.0
MNDO,2.0
MEI,2.0
WATT,2.0
GLOB,0.0
EMKR,0.0
MTBC,2.0
NEON,2.0
CRNT,0.0
INSG,2.0
CPSI,2.0
FARO,2.0
CMTL,2.0
CCMP,2.0
AVX,2.0
PDFS,2.0
MVIS,0.0
MARK,2.0
CRCM,2.0
APPF,2.0
KE,2.0
ASYS,2.0
VICR,2.0
CW,2.0
UEIC,2.0
AUTO,0.0
IDN,2.0
LYTS,0.0
EMAN,2.0
ABIL,2.0
CYBE,2.0
ITI,0.0
MRIN,2.0
NLST,0.0
QUIK,2.0
RST,2.0
PKE,2.0
SCON,2.0
ECOM,2.0
INPX,2.0
LN,2.0
HSTM,2.0
KVHI,2.0
TTGT,2.0
VHC,2.0
CNXN,2.0
TCX,1.0
DGII,0.0
NTIP,2.0
FICO,0.0
CEVA,0.0
DCAR,2.0
POWI,2.0
MIXT,2.0
ESE,2.0
IMOS,2.0
CAMT,2.0
PLUS,0.0
RFIL,0.0
PRFT,2.0
AMSC,2.0
RENN,0.0
NVMI,2.0
ALLT,2.0
KBAL,1.0
PRCP,2.0
NTP,0.0
AMOT,0.0
NTWK,0.0
TNAV,2.0
ALOT,2.0
NETE,2.0
PCYG,0.0
RNET,2.0
PCOM,2.0
DAIO,2.0
HEAR,2.0
MTSC,2.0
CTG,2.0
TRT,2.0
VPG,2.0
MSN,2.0
IOTS,0.0
NVEC,2.0
PCTI,2.0
SPNS,0.0
BELFB,2.0
CPST,2.0
ELSE,2.0
EVOL,2.0
IPDN,2.0
LORL,2.0
PAR,1.0
QUMU,2.0
RDCM,0.0
RELL,2.0
SPRT,2.0
WSTL,2.0
WIRE,2.0
APWC,2.0
AWRE,2.0
BDR,2.0
BNSO,2.0
CTS,2.0
ESP,2.0
IIN,1.0
ISNS,0.0
LOV,2.0
MGIC,2.0
MOSY,2.0
OIIM,2.0
PERI,2.0
PPSI,2.0
SGOC,2.0
SMIT,2.0
STRM,2.0
TESS,2.0
VJET,2.0
WYY,2.0
MTLS,2.0
PLPC,2.0
AMSWA,0.0
MIND,2.0
ICAD,2.0
GRVY,2.0
MLAB,0.0
SGMA,1.0
AEY,2.0
AUDC,2.0
AVNW,2.0
BELFA,2.0
BLIN,2.0
BSQR,0.0
BVSN,2.0
CCUR,2.0
CLFD,2.0
CLRO,0.0
COCP,0.0
CPAH,2.0
CPSH,2.0
CSPI,2.0
CUI,2.0
CYRN,2.0
DYSL,0.0
DZSI,2.0
EFOI,0.0
ELTK,1.0
EXFO,2.0
FEIM,2.0
FORTY,0.0
FTEO,1.0
FTNW,2.0
GILT,2.0
GSB,0.0
GSIT,2.0
GVP,0.0
HURC,2.0
IEC,2.0
INOD,2.0
INVE,2.0
ISDR,2.0
IZEA,0.0
JCS,2.0
KOSS,1.0
KTCC,2.0
LEDS,2.0
LGL,2.0
LINK,2.0
LTRPB,0.0
LTRX,2.0
MJCO,0.0
MOXC,2.0
MTBCP,2.0
NCTY,0.0
NSYS,2.0
OCC,2.0
OESX,2.0
PRKR,2.0
QADB,2.0
QBAK,2.0
QRHC,2.0
QTRH,2.0
RBCN,2.0
REFR,2.0
RGSE,2.0
SCKT,2.0
SGLB,2.0
SMSI,2.0
SMTX,2.0
SOFO,2.0
SOL,0.0
SUNW,2.0
SVT,0.0
TACT,0.0
TAIT,2.0
TCCO,2.0
TRNS,2.0
TSRI,0.0
TZOO,2.0
USATP,2.0
WSTG,2.0
WTT,2.0
PG,0.0
VIPS,2.0
KR,2.0
RAD,0.0
GIS,0.0
PM,0.0
KO,1.0
WMT,0.0
MDLZ,0.0
MO,0.0
ABEV,0.0
TAL,0.0
BRFS,0.0
NWL,0.0
KMB,2.0
CPB,0.0
TGT,1.0
HRL,2.0
K,0.0
CAG,0.0
PEP,0.0
COST,1.0
COTY,2.0
MNST,2.0
SJM,0.0
CL,0.0
ADM,0.0
DG,0.0
TAP,0.0
SYY,0.0
NOMD,2.0
CHD,0.0
BG,0.0
PBH,0.0
BIG,0.0
STZ,0.0
AVP,0.0
HMHC,2.0
POST,0.0
EL,2.0
LW,0.0
FLO,2.0
PPC,1.0
DLTR,1.0
GNC,2.0
BTI,0.0
DF,0.0
HLF,2.0
TWNK,0.0
BUD,2.0
CHGG,0.0
AGRO,2.0
CASY,0.0
MGPI,0.0
EDU,0.0
TSN,0.0
MKC,0.0
COT,0.0
HAIN,1.0
HSY,0.0
BGS,0.0
PFGC,0.0
UN,1.0
CHEF,1.0
PRMW,0.0
FRPT,0.0
FMX,2.0
CLX,1.0
VGR,0.0
SPB,0.0
PETS,0.0
THS,2.0
OLLI,0.0
BURL,0.0
IPAR,0.0
INGR,0.0
SAFM,0.0
DEO,1.0
UNFI,0.0
UL,1.0
LOPE,0.0
EPC,2.0
CCU,1.0
CALM,2.0
CORE,0.0
CRESY,0.0
FIZZ,0.0
UVV,0.0
NUS,0.0
PSMT,0.0
CENTA,0.0
LBY,2.0
ELF,0.0
HELE,2.0
CVGW,0.0
TUES,2.0
TEDU,0.0
ATGE,0.0
UTI,2.0
CENT,0.0
SPTN,0.0
STKL,0.0
LANC,0.0
SAM,2.0
WMK,0.0
STRA,0.0
GPX,0.0
APEI,0.0
KOF,2.0
USNA,2.0
NAUH,1.0
IMKTA,0.0
TR,0.0
TPB,0.0
ANDE,0.0
VLGEA,0.0
REV,0.0
JBSS,0.0
LRN,0.0
HLG,2.0
JJSF,0.0
RIBT,2.0
FC,0.0
LNDC,0.0
LMNR,0.0
CELH,0.0
FARM,0.0
BREW,0.0
SEED,0.0
ANFI,2.0
DL,2.0
LBCC,2.0
SENEA,0.0
CHSCM,0.0
CHSCN,0.0
BRID,0.0
CHSCL,0.0
LFVN,2.0
NAII,0.0
SANW,0.0
YGYI,2.0
UG,2.0
LWAY,0.0
ACU,0.0
ALCO,2.0
ASPU,0.0
CHSCO,0.0
CHSCP,1.0
CJJD,2.0
CYAN,2.0
DIT,0.0
DTEA,2.0
FTFT,0.0
IBA,0.0
JVA,0.0
LINC,2.0
LND,0.0
MTEX,0.0
NATR,0.0
NGVC,2.0
NHTC,2.0
OBCI,0.0
PME,0.0
REED,2.0
RELV,0.0
RMCF,1.0
SENEB,0.0
SUMR,2.0
THST,0.0
WILC,0.0
WVVI,0.0
WVVIP,0.0
CX,0.0
VALE,0.0
GSM,1.0
FCX,0.0
NUE,0.0
AUY,0.0
GFI,0.0
KGC,0.0
HMY,0.0
NGD,0.0
GGB,0.0
TS,0.0
AA,0.0
NTR,0.0
EGO,0.0
OLN,0.0
JCI,0.0
AU,0.0
CMC,0.0
MAS,0.0
TRQ,0.0
WPM,0.0
BTG,0.0
CENX,0.0
HL,0.0
STLD,0.0
AWI,2.0
CE,0.0
HUN,0.0
CSTM,2.0
IAG,0.0
WY,0.0
SLCA,0.0
CF,2.0
LYB,0.0
VMC,0.0
LPX,0.0
NEM,0.0
GCP,0.0
MEOH,0.0
RIO,0.0
EMN,0.0
MLM,0.0
FOE,0.0
MOS,0.0
MT,0.0
CCJ,2.0
AXTA,0.0
AEM,0.0
PVG,0.0
ASH,0.0
ARLP,0.0
BHP,0.0
AGI,0.0
CBT,0.0
FBR,2.0
AG,0.0
KS,0.0
NG,0.0
BCC,2.0
UEC,1.0
SQM,0.0
SXT,0.0
FMC,0.0
SCCO,0.0
BMCH,0.0
GRA,2.0
SUM,0.0
MUX,0.0
TROX,0.0
OEC,0.0
SBGL,0.0
ALB,0.0
OC,0.0
EXP,0.0
MDU,0.0
SND,2.0
SAND,0.0
ECL,0.0
RYN,0.0
PPG,1.0
TMST,0.0
FNV,0.0
FUL,0.0
BVN,0.0
EXK,0.0
BBL,0.0
UNVR,0.0
FSM,0.0
PAAS,0.0
UUUU,2.0
GMS,0.0
SHW,0.0
SSRM,0.0
UFS,0.0
HBM,0.0
VEDL,0.0
MAG,0.0
CRH,0.0
IPI,2.0
BLDR,1.0
GPRE,0.0
RPM,0.0
CMP,0.0
IFF,1.0
AVD,0.0
SMG,0.0
HSC,0.0
WLK,0.0
USCR,0.0
WLKP,0.0
APD,0.0
SXC,0.0
ROCK,0.0
GOLD,0.0
OR,2.0
OMN,0.0
KRA,0.0
URG,2.0
LXU,0.0
AMWD,1.0
BXC,0.0
PGTI,0.0
RFP,2.0
CSTE,2.0
IIIN,0.0
BLD,0.0
VRS,2.0
UAN,2.0
KL,0.0
SWM,0.0
GLT,0.0
MERC,0.0
AGFS,2.0
RYAM,0.0
PKX,0.0
AXE,0.0
FRTA,0.0
TX,0.0
SA,2.0
NGVT,0.0
MTRN,0.0
ALO,0.0
ASIX,0.0
THM,0.0
UFPI,0.0
POL,0.0
KALU,1.0
KRO,0.0
RGLD,0.0
EVA,0.0
MTX,0.0
TREX,0.0
IBP,0.0
AMRS,2.0
KOP,0.0
APOG,0.0
AAON,0.0
AKG,0.0
OSB,0.0
REX,0.0
CBPX,0.0
CDXC,2.0
IPHS,0.0
KMG,0.0
NX,1.0
GORO,0.0
AFI,0.0
AMTX,2.0
ICL,0.0
NEU,0.0
BCPC,0.0
VBIV,2.0
TREC,0.0
WWR,2.0
RKDA,2.0
LODE,2.0
TANH,2.0
VHI,0.0
CLW,0.0
HWKN,0.0
GFF,0.0
XPL,0.0
NRP,0.0
TGB,0.0
APT,0.0
NWPX,0.0
SCL,0.0
WDFC,0.0
NP,0.0
TGLS,2.0
SYNL,0.0
ACH,0.0
DNN,0.0
IOSP,0.0
PLM,2.0
FF,0.0
KWR,0.0
AUMN,0.0
CMCL,0.0
NTIC,0.0
MBII,0.0
TGEN,0.0
ASPN,2.0
CPAC,0.0
GURE,0.0
OSN,2.0
USAU,0.0
PZG,0.0
AAU,0.0
ALJJ,2.0
ASM,0.0
AUG,0.0
CCCL,2.0
CCR,0.0
CGA,2.0
CHNR,0.0
CINR,0.0
CTHR,1.0
EMX,0.0
FRD,0.0
FSI,0.0
GEVO,2.0
GMO,0.0
HNRG,0.0
IGC,0.0
IKNX,1.0
JCTCF,0.0
JHX,0.0
KGJI,0.0
MPVD,0.0
ODC,0.0
PLG,0.0
POPE,0.0
SES,0.0
SIM,0.0
SMTS,0.0
SNES,1.0
SPPP,0.0
TMQ,0.0
TRX,0.0
UAMY,2.0
USAP,0.0
USLM,0.0
YTEN,2.0
PFE,0.0
BMY,2.0
GERN,2.0
GILD,2.0
ABBV,0.0
MRK,0.0
BSX,0.0
ABT,2.0
WBA,1.0
CDNA,2.0
MDT,2.0
CVS,2.0
UNH,0.0
CNC,2.0
CI,2.0
SYNH,0.0
CELG,1.0
BIIB,2.0
GSK,1.0
TEVA,2.0
MYL,2.0
XRAY,1.0
PGNX,0.0
IMGN,2.0
GKOS,0.0
ALXN,2.0
IDRA,2.0
RIGL,2.0
ENDP,2.0
OMER,2.0
AMGN,2.0
TLGT,2.0
PDCO,2.0
BKD,2.0
BDX,0.0
HOLX,0.0
ANTM,0.0
ZBH,0.0
NVAX,2.0
TNDM,2.0
DXCM,2.0
LLY,2.0
HSIC,1.0
CYH,2.0
THC,2.0
SRNE,2.0
OPK,2.0
BAX,0.0
AGN,2.0
HCA,0.0
VRTX,2.0
NKTR,2.0
A,0.0
MNK,2.0
AZN,2.0
DHR,0.0
IMMU,0.0
FOLD,2.0
PDLI,2.0
DVAX,2.0
UHS,2.0
ACHC,2.0
NVS,2.0
TTPH,2.0
VRAY,2.0
ALNY,2.0
BMRN,2.0
HRTX,2.0
TXMD,2.0
INSM,2.0
EXEL,0.0
HZNP,2.0
AKBA,2.0
TMO,0.0
ACAD,2.0
ARNA,2.0
QGEN,0.0
CLVS,0.0
ARQL,2.0
LIVN,2.0
AMAG,0.0
DGX,0.0
HALO,2.0
SGMO,2.0
MCK,2.0
ABC,2.0
NVO,2.0
VNDA,0.0
EW,0.0
AMRN,0.0
IONS,2.0
NEOS,2.0
ZTS,0.0
BGNE,0.0
BDSI,2.0
AKRX,2.0
RDNT,0.0
SYK,0.0
PCRX,2.0
ISRG,0.0
PODD,1.0
CAH,2.0
DVA,2.0
AMPE,2.0
REGN,2.0
VKTX,2.0
HUM,0.0
OMI,0.0
EXAS,0.0
RMD,0.0
MDXG,1.0
INCY,1.0
NVCN,2.0
GRFS,0.0
WMGI,1.0
ESPR,2.0
LH,0.0
MOH,2.0
HTGM,2.0
COO,0.0
ABEO,0.0
RETA,0.0
BLUE,1.0
CORT,0.0
XXII,2.0
AXGN,0.0
MASI,0.0
BRKR,2.0
NBIX,2.0
JAZZ,2.0
PRTA,2.0
PTLA,2.0
HAE,0.0
LMNX,1.0
TGTX,2.0
DPLO,2.0
BEAT,0.0
XON,2.0
SNY,1.0
CBAY,2.0
AVEO,2.0
SPPI,2.0
IDXX,0.0
ONCS,2.0
SRPT,2.0
SGEN,0.0
TFX,0.0
QDEL,0.0
INVA,0.0
LCI,2.0
WST,0.0
ARWR,2.0
KURA,2.0
MRNS,2.0
ALGN,0.0
AVXL,2.0
AXDX,1.0
NUVA,0.0
ADVM,2.0
BIOS,2.0
ARAY,2.0
DERM,2.0
AYTU,2.0
PRGO,2.0
PRAH,0.0
CLDX,2.0
VCEL,0.0
SENS,2.0
IQV,0.0
SGRY,2.0
AGEN,2.0
MNTA,0.0
MNKD,2.0
ICPT,2.0
MDCO,2.0
MMSI,0.0
PTN,2.0
PBYI,2.0
IRWD,0.0
VAR,0.0
SUPN,0.0
COLL,2.0
DRNA,2.0
PACB,2.0
AVDL,2.0
NLNK,2.0
CRL,1.0
LNTH,0.0
RHE,2.0
INO,0.0
STE,2.0
MDGS,2.0
ONVO,0.0
FGEN,2.0
ACHN,2.0
SNN,2.0
MRTX,2.0
QHC,2.0
ABMD,0.0
HRC,0.0
EGRX,2.0
DBVT,1.0
MTD,0.0
BCRX,2.0
CBPO,2.0
CPHI,0.0
ICLR,1.0
DRRX,2.0
IOVA,2.0
TRXC,2.0
OSUR,0.0
NVCR,2.0
CRIS,0.0
PRTK,2.0
ELGX,2.0
AIMT,0.0
NVTA,0.0
CTLT,0.0
CUTR,0.0
RARE,2.0
CBM,0.0
MYOK,2.0
TCMD,0.0
XNCR,0.0
FPRX,0.0
FLXN,0.0
CFMS,2.0
NVTR,2.0
ENZ,0.0
CDXS,0.0
KDMN,2.0
OTIC,2.0
CPRX,2.0
ZIOP,2.0
MEDP,0.0
MDGL,0.0
GBT,2.0
AERI,0.0
SEM,0.0
KPTI,2.0
IVC,2.0
EHC,0.0
MYGN,2.0
LHCG,0.0
PIRS,2.0
ABIO,2.0
SRRA,2.0
UTHR,2.0
PTGX,0.0
AMED,0.0
CHRS,0.0
CASI,0.0
GMED,2.0
VERU,2.0
ONCE,0.0
PTCT,2.0
ATNM,2.0
CSU,2.0
IART,0.0
CNAT,0.0
LXRX,0.0
ADMS,2.0
RMTI,2.0
ALKS,2.0
SBBP,2.0
ATRS,0.0
WCG,0.0
PTI,2.0
BIOC,2.0
ABUS,2.0
STML,0.0
NVRO,0.0
GEN,0.0
ADXS,2.0
FMS,0.0
RDY,1.0
CERS,2.0
ANGO,0.0
CTMX,2.0
RDUS,2.0
GWPH,0.0
MGLN,0.0
ADMP,2.0
EDIT,2.0
ACRS,0.0
MD,2.0
CNCE,2.0
IRTC,0.0
QTNT,2.0
ZGNX,2.0
ITCI,2.0
VIVO,2.0
CTIC,2.0
HCM,1.0
CTSO,2.0
ACOR,2.0
ALIM,2.0
NTLA,2.0
GNMK,0.0
VYGR,2.0
LGND,1.0
BIO,0.0
RVNC,2.0
BOLD,0.0
VBLT,2.0
BPMC,0.0
NBRV,2.0
TVTY,0.0
TECH,0.0
ATRA,2.0
GLYC,0.0
QURE,2.0
CLSD,0.0
ICUI,0.0
WVE,0.0
SYBX,2.0
XLRN,2.0
LMAT,0.0
BLRX,2.0
CRMD,2.0
CMD,0.0
ADUS,0.0
CRHM,0.0
HIIQ,0.0
SIEN,0.0
ITGR,2.0
RGEN,0.0
EBS,2.0
SAGE,2.0
APVO,2.0
RARX,0.0
CALA,2.0
ARDX,2.0
ADAP,2.0
TRVN,2.0
LJPC,2.0
MLNT,2.0
VSTM,2.0
STAA,0.0
ADMA,2.0
INNT,2.0
ENTA,1.0
HBIO,2.0
NSTG,0.0
CDMO,2.0
CGIX,2.0
CRVS,1.0
SNDX,2.0
INGN,0.0
PEN,0.0
ANIP,0.0
GNCA,2.0
PRSC,2.0
FATE,2.0
TTOO,2.0
AMPH,0.0
CNMD,0.0
CYTK,0.0
FONR,0.0
CRY,0.0
AGIO,2.0
CO,1.0
EARS,2.0
HSKA,0.0
USPH,0.0
CARA,2.0
CMRX,2.0
TARO,2.0
NEO,0.0
MTEM,1.0
RTTR,0.0
ASMB,0.0
CHE,0.0
CRSP,0.0
CDTX,2.0
MEIP,2.0
XENT,2.0
TCON,2.0
NERV,0.0
NYMX,2.0
MYO,0.0
FCSC,2.0
BLCM,2.0
RGNX,0.0
MBRX,2.0
AFMD,2.0
EIGR,2.0
ATRC,2.0
CKPT,0.0
SRDX,0.0
OCUL,2.0
EPZM,2.0
ADRO,2.0
PLX,2.0
CFRX,2.0
ENSG,0.0
RWLK,2.0
TBPH,0.0
PAHC,0.0
ALDX,2.0
ONTX,2.0
JAGX,2.0
CSII,0.0
RTIX,2.0
NEOG,0.0
GNMX,2.0
GALT,2.0
AUPH,2.0
NK,2.0
DFFN,2.0
VIVE,2.0
OFIX,2.0
GLMD,2.0
MDWD,2.0
NOVN,0.0
ZFGN,2.0
ZSAN,2.0
CCXI,0.0
KIN,0.0
MACK,2.0
ACST,2.0
ATHX,0.0
PLXP,2.0
XOMA,2.0
NVIV,2.0
PULM,2.0
SCYX,2.0
NTRA,0.0
MBOT,2.0
APTO,2.0
SNSS,2.0
VCYT,0.0
CGEN,2.0
FOMX,0.0
ACIU,2.0
MGEN,2.0
SELB,0.0
KMPH,2.0
RCKT,2.0
CLSN,2.0
OCX,2.0
CLLS,2.0
NTEC,0.0
FBIO,1.0
GLPG,0.0
AGRX,2.0
AGTC,2.0
CBIO,2.0
SYRS,2.0
SPNE,2.0
MRUS,0.0
IMUC,2.0
INFU,2.0
MGNX,2.0
AMEH,0.0
AXSM,2.0
HTBX,2.0
KALV,2.0
MCRB,2.0
REPH,2.0
TYHT,2.0
PSTI,0.0
FVE,2.0
IBIO,2.0
VNRX,0.0
AGLE,2.0
CERC,2.0
CBMG,2.0
ASND,0.0
ANIK,0.0
PRQR,2.0
UTMD,0.0
CATB,2.0
MTNB,0.0
RSLS,2.0
ZYNE,0.0
SNOA,2.0
NSPR,2.0
DXR,0.0
RDHL,2.0
SPHS,0.0
NHC,0.0
INFI,2.0
BSPM,0.0
ATOS,2.0
BIOL,0.0
MNOV,0.0
NURO,2.0
OXFD,0.0
PFNX,2.0
PLSE,0.0
RVP,2.0
SBPH,2.0
SNGX,2.0
CSBR,2.0
AVGR,2.0
ACHV,2.0
ALT,2.0
ANTH,2.0
CHFS,2.0
CPIX,0.0
DRIO,2.0
LIFE,2.0
LPCN,2.0
NEPT,1.0
OBLN,2.0
TROV,2.0
TTNP,2.0
VTVT,2.0
FWP,2.0
ALBO,0.0
JYNT,2.0
CWBR,0.0
IRIX,0.0
CYAD,2.0
AKER,0.0
ATRI,0.0
AHPI,2.0
ARCT,2.0
AZRX,2.0
BLPH,2.0
BSTC,0.0
CHEK,0.0
CYCC,2.0
DRAD,2.0
EDAP,2.0
EKSO,2.0
EYES,2.0
IRMD,2.0
KTOV,1.0
NVUS,2.0
OGEN,2.0
OPNT,2.0
RGLS,2.0
SLS,2.0
SYN,2.0
TENX,2.0
TNXP,2.0
TRIB,2.0
XENE,2.0
XTNT,2.0
PRTO,2.0
VRML,2.0
ACER,2.0
VLRX,2.0
SMMT,2.0
AEZS,2.0
AKTX,2.0
ALPN,2.0
AMS,0.0
APEN,2.0
APOP,2.0
ATEC,2.0
BASI,2.0
BCLI,2.0
BLFS,2.0
BMRA,0.0
BNTC,2.0
BPTH,0.0
BVXV,2.0
CANF,2.0
CAPR,2.0
CATS,0.0
CBLI,2.0
CCM,2.0
CDMOP,1.0
CEMI,0.0
CHMA,2.0
CLBS,2.0
CLRB,2.0
CTXR,2.0
CVM,2.0
CYCCP,0.0
CYTR,2.0
DARE,2.0
DVCR,0.0
DYNT,2.0
ELMD,0.0
EPIX,2.0
ERYP,1.0
EVFM,2.0
EVGN,2.0
EVOK,2.0
EYEG,2.0
FCRE,1.0
FLGT,0.0
GEMP,2.0
GENE,2.0
ICCC,2.0
IDXG,0.0
IMMP,2.0
ISR,2.0
KMDA,0.0
KZIA,2.0
LAKE,2.0
LLIT,2.0
MESO,2.0
MICR,2.0
MLSS,2.0
MSON,0.0
MTFB,0.0
MTP,2.0
MYOS,2.0
NAOV,0.0
NAVB,2.0
NBY,0.0
NMRD,2.0
NNVC,2.0
OPGN,2.0
ORMP,2.0
PAVM,0.0
PDEX,0.0
PMD,0.0
PRPH,0.0
SLNO,2.0
SRTS,2.0
SSKN,2.0
SSY,0.0
TRIL,2.0
VTGN,2.0
VVUS,0.0
VXRT,2.0
XBIO,2.0
XBIT,1.0
XTLB,2.0
CMCSA,0.0
SIRI,0.0
CZR,0.0
F,2.0
NKE,2.0
BABA,0.0
GM,0.0
TWX,0.0
LOW,2.0
MAT,0.0
MIK,2.0
DIS,0.0
LEN,2.0
MGM,0.0
HOME,1.0
CCL,1.0
DISCA,0.0
EBAY,0.0
KBH,0.0
DISCK,0.0
ETSY,0.0
GES,2.0
WYNN,0.0
HBI,2.0
CHS,0.0
SBUX,2.0
LVS,0.0
IMAX,2.0
HD,0.0
MLCO,1.0
DHI,2.0
HRB,2.0
IPG,0.0
NYT,0.0
JCP,0.0
TV,2.0
SEE,0.0
M,0.0
TSLA,2.0
TPR,0.0
LKQ,0.0
FCAU,1.0
LULU,0.0
UAA,2.0
GTN,2.0
KAR,0.0
DKS,0.0
GPK,1.0
TJX,0.0
KSS,0.0
DRI,0.0
VFC,2.0
BLL,0.0
ODP,2.0
TOL,2.0
JMEI,2.0
GME,2.0
LB,2.0
TIF,0.0
DLPH,2.0
NCLH,2.0
GPS,2.0
MGA,0.0
AEO,1.0
NWS,2.0
IP,0.0
DAN,0.0
BBY,0.0
SBH,2.0
YUM,0.0
GIII,2.0
GT,1.0
FWONK,0.0
ARMK,0.0
APTV,2.0
CTB,0.0
SKX,2.0
PHM,0.0
FL,0.0
BBBY,2.0
MAR,0.0
SHOO,0.0
ANF,2.0
MTOR,0.0
EVC,1.0
TSCO,2.0
URBN,0.0
ETM,0.0
TPH,2.0
IGT,0.0
BLMN,0.0
GNTX,0.0
RCL,2.0
W,2.0
MDC,0.0
YUMC,0.0
ALV,2.0
BYD,0.0
WGO,0.0
FBHS,1.0
EXPE,2.0
TVPT,0.0
OUT,0.0
CROX,2.0
QRTEA,2.0
TRIP,2.0
RH,2.0
VIAB,2.0
QSR,0.0
ETH,0.0
CBS,0.0
WRK,0.0
MCD,0.0
AXL,0.0
SIG,2.0
CRI,2.0
CAKE,0.0
TMHC,0.0
BZUN,0.0
NWSA,2.0
ULTA,0.0
PRTY,0.0
JACK,0.0
CPRT,0.0
EAT,0.0
DXLG,2.0
OMC,0.0
MHK,0.0
SPWH,2.0
CTAS,0.0
HAS,0.0
AN,2.0
VC,0.0
TTM,0.0
FIVE,0.0
LQ,0.0
SIX,0.0
HTHT,0.0
PENN,2.0
UA,2.0
THO,0.0
TGNA,2.0
THRM,2.0
HLT,0.0
PIR,0.0
STAY,0.0
ROST,0.0
CSL,0.0
WSM,2.0
BWA,2.0
CAL,0.0
OI,0.0
CWH,0.0
DECK,0.0
MATW,0.0
PLNT,0.0
MELI,0.0
SGMS,0.0
ARCO,0.0
JWN,1.0
SBGI,0.0
PLAY,0.0
TSE,0.0
LYV,0.0
ELY,0.0
H,0.0
EXPR,2.0
